Month,Edits,IPs,IPs %,Minor edits,Minor edits %,Edits  ·  Minor edits  ·  IPs,Found References,Found Body,Total Found
2007-07,192,30,15.6%,33,17.2%,,4,0,4
2007-08,328,30,9.1%,73,22.3%,,2,0,2
2007-09,118,18,15.3%,29,24.6%,,6,0,6
2007-10,95,0,0%,28,29.5%,,8,0,8
2007-11,127,0,0%,24,18.9%,,3,0,3
2007-12,179,6,3.4%,36,20.1%,,8,0,8
2008-01,490,0,0%,112,22.9%,,1,0,1
2008-02,712,0,0%,191,26.8%,,2,0,2
2008-03,715,9,1.3%,185,25.9%,,6,0,6
2008-04,988,7,0.7%,198,20%,,4,0,4
2008-05,766,0,0%,133,17.4%,,4,0,4
2008-06,793,0,0%,192,24.2%,,5,3,8
2008-07,372,0,0%,83,22.3%,,8,0,8
2008-08,475,0,0%,140,29.5%,,11,1,12
2008-09,467,0,0%,141,30.2%,,2,0,2
2008-10,637,0,0%,207,32.5%,,0,0,0
2008-11,1434,1,0.1%,451,31.5%,,7,2,9
2008-12,344,0,0%,70,20.3%,,2,0,2
2009-01,947,5,0.5%,254,26.8%,,10,2,12
2009-02,430,0,0%,108,25.1%,,6,2,8
2009-03,385,0,0%,102,26.5%,,4,1,5
2009-04,226,0,0%,71,31.4%,,4,0,4
2009-05,206,0,0%,65,31.6%,,0,1,1
2009-06,243,0,0%,77,31.7%,,6,1,7
2009-07,182,0,0%,48,26.4%,,1,1,2
2009-08,144,0,0%,48,33.3%,,3,1,4
2009-09,161,0,0%,54,33.5%,,4,0,4
2009-10,395,0,0%,99,25.1%,,4,3,7
2009-11,143,0,0%,34,23.8%,,3,1,4
2009-12,205,0,0%,53,25.9%,,3,3,6
2010-01,202,0,0%,44,21.8%,,4,0,4
2010-02,124,0,0%,41,33.1%,,1,0,1
2010-03,201,0,0%,81,40.3%,,12,2,14
2010-04,198,0,0%,61,30.8%,,1,1,2
2010-05,118,0,0%,47,39.8%,,1,1,2
2010-06,231,26,11.3%,84,36.4%,,1,0,1
2010-07,88,0,0%,23,26.1%,,1,0,1
2010-08,81,0,0%,27,33.3%,,2,2,4
2010-09,106,0,0%,36,34%,,3,1,4
2010-10,51,0,0%,12,23.5%,,1,0,1
2010-11,120,0,0%,43,35.8%,,0,0,0
2010-12,111,0,0%,33,29.7%,,5,2,7
2011-01,72,0,0%,21,29.2%,,2,0,2
2011-02,66,0,0%,21,31.8%,,0,0,0
2011-03,120,0,0%,27,22.5%,,6,0,6
2011-04,115,0,0%,33,28.7%,,5,1,6
2011-05,118,0,0%,32,27.1%,,9,2,11
2011-06,70,0,0%,18,25.7%,,1,0,1
2011-07,88,0,0%,35,39.8%,,2,0,2
2011-08,114,0,0%,24,21.1%,,0,2,2
2011-09,45,0,0%,19,42.2%,,0,0,0
2011-10,105,0,0%,22,21%,,1,1,2
2011-11,82,0,0%,24,29.3%,,0,0,0
2011-12,133,0,0%,18,13.5%,,1,0,1
2012-01,67,0,0%,27,40.3%,,0,0,0
2012-02,97,0,0%,28,28.9%,,0,0,0
2012-03,62,0,0%,20,32.3%,,0,0,0
2012-04,84,0,0%,26,31%,,1,1,2
2012-05,179,0,0%,53,29.6%,,4,1,5
2012-06,69,0,0%,16,23.2%,,2,1,3
2012-07,125,0,0%,27,21.6%,,0,0,0
2012-08,113,0,0%,20,17.7%,,1,0,1
2012-09,84,0,0%,22,26.2%,,1,0,1
2012-10,117,0,0%,24,20.5%,,1,0,1
2012-11,282,4,1.4%,66,23.4%,,6,1,7
2012-12,51,0,0%,17,33.3%,,0,0,0
2013-01,96,0,0%,22,22.9%,,6,3,9
2013-02,50,0,0%,14,28%,,3,0,3
2013-03,75,0,0%,22,29.3%,,0,0,0
2013-04,67,0,0%,26,38.8%,,0,0,0
2013-05,33,0,0%,8,24.2%,,1,0,1
2013-06,64,0,0%,24,37.5%,,1,0,1
2013-07,63,0,0%,20,31.7%,,2,0,2
2013-08,21,0,0%,2,9.5%,,4,0,4
2013-09,35,0,0%,10,28.6%,,1,0,1
2013-10,33,0,0%,11,33.3%,,0,0,0
2013-11,48,0,0%,11,22.9%,,1,0,1
2013-12,53,0,0%,17,32.1%,,3,1,4
2014-01,31,0,0%,7,22.6%,,2,1,3
2014-02,23,0,0%,9,39.1%,,0,0,0
2014-03,59,0,0%,14,23.7%,,0,0,0
2014-04,73,0,0%,15,20.5%,,1,0,1
2014-05,40,0,0%,16,40%,,0,0,0
2014-06,44,0,0%,19,43.2%,,2,0,2
2014-07,45,0,0%,12,26.7%,,1,0,1
2014-08,52,0,0%,11,21.2%,,1,0,1
2014-09,39,0,0%,14,35.9%,,1,0,1
2014-10,47,0,0%,14,29.8%,,0,0,0
2014-11,40,0,0%,12,30%,,0,0,0
2014-12,44,0,0%,12,27.3%,,1,0,1
2015-01,53,0,0%,14,26.4%,,2,0,2
2015-02,22,0,0%,8,36.4%,,3,1,4
2015-03,52,0,0%,9,17.3%,,1,0,1
2015-04,89,0,0%,25,28.1%,,1,0,1
2015-05,43,0,0%,11,25.6%,,0,0,0
2015-06,46,0,0%,14,30.4%,,2,0,2
2015-07,65,0,0%,19,29.2%,,2,2,4
2015-08,45,0,0%,17,37.8%,,1,1,2
2015-09,51,0,0%,20,39.2%,,2,0,2
2015-10,27,0,0%,10,37%,,3,0,3
2015-11,32,0,0%,10,31.2%,,0,0,0
2015-12,30,0,0%,14,46.7%,,1,1,2
2016-01,41,0,0%,10,24.4%,,2,1,3
2016-02,60,0,0%,13,21.7%,,1,0,1
2016-03,110,1,0.9%,46,41.8%,,1,0,1
2016-04,52,0,0%,20,38.5%,,2,0,2
2016-05,29,0,0%,8,27.6%,,1,0,1
2016-06,48,0,0%,12,25%,,6,0,6
2016-07,55,0,0%,29,52.7%,,2,0,2
2016-08,81,0,0%,25,30.9%,,1,0,1
2016-09,34,0,0%,14,41.2%,,2,0,2
2016-10,69,0,0%,18,26.1%,,1,0,1
2016-11,177,0,0%,39,22%,,2,0,2
2016-12,89,0,0%,25,28.1%,,6,1,7
2017-01,319,0,0%,57,17.9%,,12,3,15
2017-02,124,0,0%,35,28.2%,,0,0,0
2017-03,74,0,0%,20,27%,,0,1,1
2017-04,53,0,0%,10,18.9%,,1,0,1
2017-05,59,0,0%,16,27.1%,,2,0,2
2017-06,49,0,0%,12,24.5%,,2,0,2
2017-07,45,0,0%,9,20%,,0,0,0
2017-08,37,0,0%,13,35.1%,,0,0,0
2017-09,60,0,0%,19,31.7%,,4,0,4
2017-10,42,0,0%,8,19%,,1,0,1
2017-11,103,0,0%,11,10.7%,,1,1,2
2017-12,63,0,0%,23,36.5%,,1,0,1
2018-01,40,0,0%,11,27.5%,,1,0,1
2018-02,40,0,0%,8,20%,,1,0,1
2018-03,42,0,0%,9,21.4%,,0,0,0
2018-04,47,0,0%,13,27.7%,,1,0,1
2018-05,42,0,0%,3,7.1%,,2,1,3
2018-06,33,0,0%,12,36.4%,,1,0,1
2018-07,30,0,0%,8,26.7%,,0,0,0
2018-08,50,0,0%,12,24%,,0,0,0
2018-09,33,0,0%,8,24.2%,,0,0,0
2018-10,37,0,0%,9,24.3%,,1,1,2
2018-11,56,0,0%,13,23.2%,,1,0,1
2018-12,23,0,0%,5,21.7%,,0,0,0
2019-01,39,0,0%,13,33.3%,,0,0,0
2019-02,29,0,0%,7,24.1%,,0,0,0
2019-03,33,0,0%,8,24.2%,,0,0,0
2019-04,36,0,0%,8,22.2%,,1,0,1
2019-05,26,0,0%,10,38.5%,,0,0,0
2019-06,34,0,0%,11,32.4%,,0,0,0
2019-07,18,0,0%,5,27.8%,,0,0,0
2019-08,20,0,0%,3,15%,,0,0,0
2019-09,39,0,0%,15,38.5%,,1,0,1
2019-10,36,0,0%,13,36.1%,,1,1,2
2019-11,21,0,0%,3,14.3%,,0,0,0
2019-12,42,0,0%,11,26.2%,,1,0,1
2020-01,42,0,0%,14,33.3%,,1,0,1
2020-02,39,0,0%,13,33.3%,,1,0,1
2020-03,46,0,0%,10,21.7%,,0,0,0
2020-04,43,0,0%,15,34.9%,,1,1,2
2020-05,59,0,0%,11,18.6%,,1,0,1
2020-06,34,0,0%,15,44.1%,,0,0,0
2020-07,34,0,0%,11,32.4%,,0,0,0
2020-08,50,0,0%,12,24%,,0,0,0
2020-09,37,0,0%,10,27%,,2,0,2
2020-10,32,0,0%,9,28.1%,,0,0,0
2020-11,72,0,0%,21,29.2%,,2,1,3
2020-12,41,0,0%,7,17.1%,,0,0,0
2021-01,75,0,0%,14,18.7%,,0,0,0
2021-02,79,0,0%,21,26.6%,,2,0,2
2021-03,61,0,0%,17,27.9%,,0,0,0
2021-04,56,0,0%,11,19.6%,,0,0,0
2021-05,33,0,0%,11,33.3%,,1,1,2
2021-06,32,0,0%,8,25%,,0,0,0
2021-07,25,0,0%,5,20%,,0,0,0
2021-08,44,0,0%,6,13.6%,,0,0,0
2021-09,61,0,0%,9,14.8%,,0,0,0
2021-10,85,0,0%,8,9.4%,,0,0,0
2021-11,20,0,0%,4,20%,,0,0,0
2021-12,41,0,0%,11,26.8%,,1,0,1
2022-01,26,0,0%,7,26.9%,,0,0,0
2022-02,16,0,0%,9,56.2%,,0,0,0
2022-03,41,0,0%,8,19.5%,,1,1,2
2022-04,32,0,0%,6,18.8%,,0,1,1
2022-05,23,0,0%,4,17.4%,,0,0,0
2022-06,26,0,0%,8,30.8%,,1,0,1
2022-07,35,0,0%,10,28.6%,,0,0,0
2022-08,39,0,0%,17,43.6%,,0,0,0
2022-09,46,0,0%,11,23.9%,,1,0,1
2022-10,37,0,0%,4,10.8%,,0,0,0
2022-11,51,0,0%,13,25.5%,,0,0,0
2022-12,18,0,0%,13,72.2%,,0,0,0
